model;	sku;ean;mpn;	name;description;category;quantity;stock_status;status;image;additional_image;manufacturer;	price;	tax_class;weight 
UL90047434; ;90047434;90047434;Polar V800 Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90047434.jpg;;;368.01;Κλάση Ι (23% ~ 16%);449.0kg;
UL90047437; ;90047437;90047437;Polar V800 Black Heart Rate;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90047437.jpg;;;430.3;Κλάση Ι (23% ~ 16%);525.0kg;
UL90048945; ;90048945;90048945;Polar V800 Blue;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90048945.jpg;;;368.01;Κλάση Ι (23% ~ 16%);449.0kg;
UL90048948; ;90048948;90048948;Polar V800 Blue Heart Rate;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90048948.jpg;;;430.3;Κλάση Ι (23% ~ 16%);525.0kg;
UL7990013; ;7990013;7990013;Polar RS300X Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL7990013.jpg;;;97.53;Κλάση Ι (23% ~ 16%);119.0kg;
UL1310815476; ;1310815476;1310815476;Polar RS300X Orange;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL1310815476.jpg;;;97.53;Κλάση Ι (23% ~ 16%);119.0kg;
UL90051344; ;90051344;90051344;Polar M400 White;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051344.jpg;;;163.1;Κλάση Ι (23% ~ 16%);199.0kg;
UL90051092; ;90051092;90051092;Polar M400 Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051092.jpg;;;163.1;Κλάση Ι (23% ~ 16%);199.0kg;
UL90051341; ;90051341;90051341;Polar M400 Black Heart Rate;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051341.jpg;;;204.09;Κλάση Ι (23% ~ 16%);249.0kg;
UL90051347; ;90051347;90051347;Polar M400 White Heart Rate;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051347.jpg;;;204.09;Κλάση Ι (23% ~ 16%);249.0kg;
UL01-050-060F; ;01-050-060F;01-050-060F;Polar Fitness FT60 Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL01-050-060F.jpg;;;118.84;Κλάση Ι (23% ~ 16%);145.0kg;
UL01-050-060F-p; ;01-050-060F-p;01-050-060F-p;Polar Fitness FT60 Purple;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL01-050-060F-p.jpg;;;118.84;Κλάση Ι (23% ~ 16%);145.0kg;
